ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,CHN,China (People's Republic of),All works,Article,5.411092265166716,2000
All AI research,CHN,China (People's Republic of),All works,Article,7.582661185386403,2001
All AI research,CHN,China (People's Republic of),All works,Article,6.704803532654502,2002
All AI research,CHN,China (People's Republic of),All works,Article,10.114291609714673,2003
All AI research,CHN,China (People's Republic of),All works,Article,16.229317416696464,2004
All AI research,CHN,China (People's Republic of),All works,Article,18.630056567480807,2005
All AI research,CHN,China (People's Republic of),All works,Article,23.815749926537144,2006
All AI research,CHN,China (People's Republic of),All works,Article,27.81749244498953,2007
All AI research,CHN,China (People's Republic of),All works,Article,30.346745420239657,2008
All AI research,CHN,China (People's Republic of),All works,Article,31.59921177204575,2009
All AI research,CHN,China (People's Republic of),All works,Article,30.820076307379964,2010
All AI research,CHN,China (People's Republic of),All works,Article,28.449014040203114,2011
All AI research,CHN,China (People's Republic of),All works,Article,24.16086948973531,2012
All AI research,CHN,China (People's Republic of),All works,Article,22.527202536963916,2013
All AI research,CHN,China (People's Republic of),All works,Article,21.146556423258367,2014
All AI research,CHN,China (People's Republic of),All works,Article,18.382135381195365,2015
All AI research,CHN,China (People's Republic of),All works,Article,16.75263680211996,2016
All AI research,CHN,China (People's Republic of),All works,Article,17.97452313634755,2017
All AI research,CHN,China (People's Republic of),All works,Article,20.690879012226755,2018
All AI research,CHN,China (People's Republic of),All works,Article,23.10217613937311,2019
All AI research,CHN,China (People's Republic of),All works,Article,24.99522005691363,2020
All AI research,CHN,China (People's Republic of),All works,Article,27.680525589848102,2021
All AI research,CHN,China (People's Republic of),All works,Article,31.009579372857562,2022
All AI research,CHN,China (People's Republic of),All works,Article,30.685843011610086,2023
All AI research,CHN,China (People's Republic of),All works,Article,32.4567170361085,2024
All AI research,CHN,China (People's Republic of),All works,Article,31.900879748106227,2025
All AI research,CHN,China (People's Republic of),All works,Article,29.452195675732145,2026
All AI research,EU27,EU27,All works,Article,25.84415348046504,2000
All AI research,EU27,EU27,All works,Article,24.806243558363022,2001
All AI research,EU27,EU27,All works,Article,21.19473228620226,2002
All AI research,EU27,EU27,All works,Article,19.93120014101246,2003
All AI research,EU27,EU27,All works,Article,21.668415969971022,2004
All AI research,EU27,EU27,All works,Article,19.692247670072767,2005
All AI research,EU27,EU27,All works,Article,19.386695042105547,2006
All AI research,EU27,EU27,All works,Article,19.64850439797573,2007
All AI research,EU27,EU27,All works,Article,19.854850108649366,2008
All AI research,EU27,EU27,All works,Article,19.380840884834107,2009
All AI research,EU27,EU27,All works,Article,19.898396201014105,2010
All AI research,EU27,EU27,All works,Article,19.564284047657562,2011
All AI research,EU27,EU27,All works,Article,21.219157551335872,2012
All AI research,EU27,EU27,All works,Article,21.439275346232147,2013
All AI research,EU27,EU27,All works,Article,21.411274739398582,2014
All AI research,EU27,EU27,All works,Article,20.95914960155876,2015
All AI research,EU27,EU27,All works,Article,20.06850965538614,2016
All AI research,EU27,EU27,All works,Article,18.07822960580507,2017
All AI research,EU27,EU27,All works,Article,16.770801596572863,2018
All AI research,EU27,EU27,All works,Article,17.106264139679343,2019
All AI research,EU27,EU27,All works,Article,14.976129166246906,2020
All AI research,EU27,EU27,All works,Article,13.735210723810447,2021
All AI research,EU27,EU27,All works,Article,13.75153070714798,2022
All AI research,EU27,EU27,All works,Article,13.628936168625348,2023
All AI research,EU27,EU27,All works,Article,13.13230732923029,2024
All AI research,EU27,EU27,All works,Article,12.031612589682645,2025
All AI research,EU27,EU27,All works,Article,11.683894112824953,2026
All AI research,USA,United States,All works,Article,29.194281068280755,2000
All AI research,USA,United States,All works,Article,28.745351775078554,2001
All AI research,USA,United States,All works,Article,31.09487012487328,2002
All AI research,USA,United States,All works,Article,30.60360432951272,2003
All AI research,USA,United States,All works,Article,23.70825109568008,2004
All AI research,USA,United States,All works,Article,24.25702488173751,2005
All AI research,USA,United States,All works,Article,19.929234056712584,2006
All AI research,USA,United States,All works,Article,18.26833208851632,2007
All AI research,USA,United States,All works,Article,15.9275352786948,2008
All AI research,USA,United States,All works,Article,16.324847931337217,2009
All AI research,USA,United States,All works,Article,15.393176596553777,2010
All AI research,USA,United States,All works,Article,16.27856582132021,2011
All AI research,USA,United States,All works,Article,15.220192197793525,2012
All AI research,USA,United States,All works,Article,15.287389705621468,2013
All AI research,USA,United States,All works,Article,14.910503478982616,2014
All AI research,USA,United States,All works,Article,15.45917634795077,2015
All AI research,USA,United States,All works,Article,15.250349059713495,2016
All AI research,USA,United States,All works,Article,15.410176110302823,2017
All AI research,USA,United States,All works,Article,16.71093319310202,2018
All AI research,USA,United States,All works,Article,15.14629838471542,2019
All AI research,USA,United States,All works,Article,14.859370346938814,2020
All AI research,USA,United States,All works,Article,14.323045221176404,2021
All AI research,USA,United States,All works,Article,12.275936153904995,2022
All AI research,USA,United States,All works,Article,12.202897817544386,2023
All AI research,USA,United States,All works,Article,11.358805214846887,2024
All AI research,USA,United States,All works,Article,12.017018034948201,2025
All AI research,USA,United States,All works,Article,13.912097122436377,2026
All AI research,JPN,Japan,All works,Article,9.436436107768383,2000
All AI research,JPN,Japan,All works,Article,9.396057401100805,2001
All AI research,JPN,Japan,All works,Article,11.220981490079868,2002
All AI research,JPN,Japan,All works,Article,10.578708134026849,2003
All AI research,JPN,Japan,All works,Article,9.596497885771615,2004
All AI research,JPN,Japan,All works,Article,9.542794328548855,2005
All AI research,JPN,Japan,All works,Article,7.766227163580973,2006
All AI research,JPN,Japan,All works,Article,6.57798072765026,2007
All AI research,JPN,Japan,All works,Article,6.7345150230929685,2008
All AI research,JPN,Japan,All works,Article,5.803237812536964,2009
All AI research,JPN,Japan,All works,Article,5.969754667697293,2010
All AI research,JPN,Japan,All works,Article,5.704496018321264,2011
All AI research,JPN,Japan,All works,Article,6.051380706718815,2012
All AI research,JPN,Japan,All works,Article,5.878317678627736,2013
All AI research,JPN,Japan,All works,Article,5.211369420711923,2014
All AI research,JPN,Japan,All works,Article,5.2039117165788555,2015
All AI research,JPN,Japan,All works,Article,5.6754181009733236,2016
All AI research,JPN,Japan,All works,Article,5.178249295262737,2017
All AI research,JPN,Japan,All works,Article,4.807475325028391,2018
All AI research,JPN,Japan,All works,Article,4.15299294609162,2019
All AI research,JPN,Japan,All works,Article,3.968084013522181,2020
All AI research,JPN,Japan,All works,Article,3.3730667621721664,2021
All AI research,JPN,Japan,All works,Article,3.019768440235738,2022
All AI research,JPN,Japan,All works,Article,2.8726114694747844,2023
All AI research,JPN,Japan,All works,Article,2.8936306371575133,2024
All AI research,JPN,Japan,All works,Article,2.3405303579430274,2025
All AI research,JPN,Japan,All works,Article,1.8858130779218756,2026
All AI research,IND,India,All works,Article,1.2654336973186535,2000
All AI research,IND,India,All works,Article,1.1441532234195437,2001
All AI research,IND,India,All works,Article,1.1859099650324394,2002
All AI research,IND,India,All works,Article,1.4064504362472097,2003
All AI research,IND,India,All works,Article,1.7353302670239348,2004
All AI research,IND,India,All works,Article,1.9727026259283327,2005
All AI research,IND,India,All works,Article,1.7238841308916533,2006
All AI research,IND,India,All works,Article,1.854619845048822,2007
All AI research,IND,India,All works,Article,2.0086166916600816,2008
All AI research,IND,India,All works,Article,2.5115317337064,2009
All AI research,IND,India,All works,Article,3.5187376273027517,2010
All AI research,IND,India,All works,Article,3.840337870638861,2011
All AI research,IND,India,All works,Article,5.255630422959258,2012
All AI research,IND,India,All works,Article,5.111884984235615,2013
All AI research,IND,India,All works,Article,6.006992001297908,2014
All AI research,IND,India,All works,Article,7.645130657381267,2015
All AI research,IND,India,All works,Article,8.193499656526132,2016
All AI research,IND,India,All works,Article,8.318665683299256,2017
All AI research,IND,India,All works,Article,7.692547828032606,2018
All AI research,IND,India,All works,Article,6.970748443017177,2019
All AI research,IND,India,All works,Article,7.617551848201422,2020
All AI research,IND,India,All works,Article,8.015955372433814,2021
All AI research,IND,India,All works,Article,9.233762443837064,2022
All AI research,IND,India,All works,Article,10.152038538742218,2023
All AI research,IND,India,All works,Article,10.292677529015114,2024
All AI research,IND,India,All works,Article,11.32097986777808,2025
All AI research,IND,India,All works,Article,12.780113689923777,2026
All AI research,GBR,United Kingdom,All works,Article,7.772781811714516,2000
All AI research,GBR,United Kingdom,All works,Article,7.253584262004335,2001
All AI research,GBR,United Kingdom,All works,Article,5.507701621411992,2002
All AI research,GBR,United Kingdom,All works,Article,5.998148494297898,2003
All AI research,GBR,United Kingdom,All works,Article,5.342283942985509,2004
All AI research,GBR,United Kingdom,All works,Article,4.939433876136493,2005
All AI research,GBR,United Kingdom,All works,Article,5.076755301328603,2006
All AI research,GBR,United Kingdom,All works,Article,4.942843606561069,2007
All AI research,GBR,United Kingdom,All works,Article,4.623864721572383,2008
All AI research,GBR,United Kingdom,All works,Article,4.099193480215745,2009
All AI research,GBR,United Kingdom,All works,Article,3.727554346136186,2010
All AI research,GBR,United Kingdom,All works,Article,3.775757787129655,2011
All AI research,GBR,United Kingdom,All works,Article,3.436904272334776,2012
